Num	energy		entropy		contrast	idMoment
101	0.252713	7.96345		4.01601		1.85185
102	0.292857	7.50108		2.26311		2.0319
103	0.131137	9.05852		4.40634		1.72039
104	0.135782	8.97922		4.53486		1.74407
105	0.242535	7.79285		2.97759		1.92374
106	0.163959	8.32235		4.56573		1.68884
107	0.250485	7.30495		2.37914		1.94593
108	0.207858	7.85402		3.0181		1.86216
109	0.163777	8.04617		2.25923		1.95789
110	0.103994	9.02777		3.29859		1.81553
112	0.181925	9.00355		4.46829		1.83279
113	0.266546	7.54719		4.24589		1.85376
