Num	energy		entropy		contrast	idMoment
201	0.269122	6.9477		2.12963		1.93655
202	0.183585	7.76961		2.34241		1.96414
203	0.385263	5.98566		0.755646	2.23864
204	0.158533	7.98625		1.44602		2.1128
205	0.320143	6.76564		1.08598		2.23327
206	0.328269	6.72852		1.458		2.16871
207	0.477618	6.65391		1.47636		2.12139
208	0.349223	7.80253		1.85464		2.00943
209	0.317401	6.40556		0.872457	2.24843
210	0.28729		6.6446		0.830328	2.23568
211	0.439277	7.19466		2.72537		1.95733
212	0.377004	7.49614		2.07392		2.11056
213	0.312551	6.74833		1.59229		2.11835
