Num	energy		entropy		contrast	idMoment
301	0.372892	6.2497		0.952716	2.31596
302	0.227748	7.69921		2.27968		2.10843
303	0.299237	6.38237		1.95455		1.95149
304	0.481708	5.27954		0.661393	2.38845
305	0.390539	5.98537		0.676936	2.27355
306	0.341133	6.27132		1.08144		2.2332
307	0.275879	8.46076		4.06313		1.83546
308	0.610096	5.37911		0.809869	2.30047
309	0.291997	7.24468		2.22981		2.20948
310	0.30204		7.29664		0.919424	2.26368
311	0.21448		8.01474		2.28624		1.98872
312	0.585801	5.01071		0.714402	2.39543
313	0.312021	6.75239		1.63357		2.11882
111	0.694303	6.53418		2.82938		2.01834
